repo_name,year,matched_historical_panel,collaboration_niche,issues_opened,issues_closed_during_window,issues_open_at_cutoff,issue_flow_balance,prs_opened,prs_closed_during_window,prs_open_at_cutoff,pr_flow_balance,issue_unresolved_90d_share,pr_unresolved_90d_share,pr_merged_90d_share,push_actors,actors_for_50pct_pushes,top_5_actor_share
larksuite/cli,2026,no,agent_runtime_infra,563,351,212,212,2016,1500,406,516,0.258953,0.090689,0.663845,96,11,0.323404
livekit/agents,2024,yes,agent_framework,123,86,5,37,478,465,1,13,0.173913,0.009756,0.834146,7,2,0.993699
livekit/agents,2025,yes,agent_framework,763,624,8,139,1217,1135,50,82,0.348519,0.069602,0.786932,22,2,0.882975
livekit/agents,2026,yes,agent_framework,581,645,168,-64,2048,1611,428,437,0.342939,0.156028,0.674645,27,3,0.897338
lobehub/lobehub,2024,yes,agent_application,1436,1212,0,224,968,920,0,48,0.22199,0.02926,0.788296,2,1,1.0
lobehub/lobehub,2025,yes,agent_application,1789,1342,0,447,1448,1429,0,19,0.304762,0.046891,0.715596,7,1,0.99061
lobehub/lobehub,2026,yes,agent_application,1471,2143,324,-672,6097,5552,514,545,0.093817,0.065679,0.736317,10,2,0.884141
marimo-team/marimo,2024,yes,agent_application,501,419,12,82,1103,1102,0,1,0.189711,0.0,0.965116,3,1,1.0
marimo-team/marimo,2025,yes,agent_application,928,691,173,237,1821,1785,3,36,0.295139,0.013021,0.905382,7,1,0.989803
marimo-team/marimo,2026,yes,agent_application,793,751,234,42,2148,2054,63,94,0.255198,0.021651,0.832206,10,2,0.919001
mastra-ai/mastra,2024,no,agent_framework,0,0,0,0,231,223,0,8,,,,0,0,
mastra-ai/mastra,2025,no,agent_framework,1322,1100,3,222,4092,4003,0,89,0.073113,0.002558,0.838875,27,4,0.620982
mastra-ai/mastra,2026,no,agent_framework,2785,2653,251,132,8320,7914,226,406,0.061953,0.007584,0.756148,37,5,0.501143
microsoft/agent-framework,2024,no,agent_framework,0,0,0,0,0,0,0,0,,,,0,0,
microsoft/agent-framework,2025,no,agent_framework,269,123,13,146,299,262,0,37,0.275,0.0,0.642857,0,0,
